index	type	text	text_ES	Go To	conditions	actions
1	Q	Вы смогли найти редкую звёздную сталь! (стальная красная кирка)		4	PlayerHasItem#12025	
1	Q	Вы смогли найти редкую звёздную сталь! (стальная фиол кирка)		5	PlayerHasItem#12024	
1	Q	Вы смогли найти редкую звёздную сталь! (стальная синяя кирка)		6	PlayerHasItem#12023	
1	Q	Вы смогли найти редкую звёздную сталь! (стальная кирка)		2	PlayerHasItem#12022	
1	Q	С одной стороны вам повезло - вы нашли звёздную сталь, но увы, у вас нет подходящего для добычи инструмента.		3		
2	A	Добыть [RED]Обновляется раз в день[].		0	VariableLower#TMP_starmetal_ore10,1	"SetVariable#TMP_starmetal_ore10,1;GainItem#12005;GainXP#50"
3	A	Вернусь позже.		0		
4	A	Добыть [RED]Обновляется раз в день[].		0	VariableLower#TMP_starmetal_ore10,1	"SetVariable#TMP_starmetal_ore10,1;GainItems#12005,4;GainXP#200"
5	A	Добыть [RED]Обновляется раз в день[].		0	VariableLower#TMP_starmetal_ore10,1	"SetVariable#TMP_starmetal_ore10,1;GainItem#12005;GainXP#500"
6	A	Добыть [RED]Обновляется раз в день[].		0	VariableLower#TMP_starmetal_ore10,1	"SetVariable#TMP_starmetal_ore10,1;GainItems#12005,2;GainXP#100"
