index	type	text	text_ES	Go To	conditions	actions
1	Q	Что ты хочешь сделать?	S	2		
2	A	Повысить счёт.	S	12	VariableLower#TMP_cd,1	"SetVariable#TMP_cd,1;IncVariable#time,1"
2	A	Покажи значение переменной.	S	3	
2	A	Сбросить время.	S	10		SetVariable#time,0
3	Q	Значение переменной: 1	S	9	VariableEqual#time,1	
3	Q	Значение переменной: 2	S	9	VariableEqual#time,2	
3	Q	Значение переменной: 3	S	9	VariableEqual#time,3	
3	Q	Значение переменной: 4	S	9	VariableEqual#time,4	
3	Q	Значение переменной: 5	S	9	VariableEqual#time,5	
3	Q	Значение переменной: 6	S	9	VariableEqual#time,6	
3	Q	Значение переменной: 7	S	9	VariableEqual#time,7	
3	Q	Значение переменной: 8	S	9	VariableEqual#time,8	
3	Q	Значение переменной: 9	S	9	VariableEqual#time,9	
3	Q	Значение переменной: 10	S	9	VariableEqual#time,10	
10	Q	Значение переменной сброшено	S	11		
11	A	Назад	S	2		
11	A	До втречи	S	0		
12	Q	Значение переменной Повышено	S	13		
13	A	Назад	S	2		
13	A	До втречи	S	0		
