index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE]Кузнечное дело[] Вы можете перековать некоторое оружие и броню, если у вас есть рецепт (материала, предмета) и необходимые ресурсы.		2		
2	A	Перековать.		3		
2	A	Выплавить.		50		
2	A	Вы что-нибудь продаёте?		800		
2	A	Спасибо, но мне пора.		0		
3	Q	[BLUE]Выберите тип предмета.[]		4		
4	A	Оружие		5		
4	A	Броня		9		
4	A	Левая рука		13		
4	A	Назад		1		
5	Q	[BLUE]Выберите категорию предмета[]		6		
6	A	Мечи		20		
6	A	Стрелковое		21		
6	A	Кинжалы		22		
6	A	Далее		7		
7	Q	[BLUE]Выберите категорию предмета[]		8		
8	A	Молоты		23		
8	A	Топоры		24		
8	A	Булавы		25		
8	A	Магическое		26		
9	Q	[BLUE]Выберите категорию предмета.[]		10		
10	A	Шлем		200		
10	A	Нагрудник или мантия		201		
10	A	Перчатки		202		
10	A	Далее		11		
11	Q	[BLUE]Выберите категорию предмета.[]		12		
12	A	Краги или поножи		203		
12	A	Сапоги		204		
12	A	Назад		1		
13	Q	[BLUE]Выберите категорию предмета.[]		14		
14	A	Щиты		300		
14	A	Даги		301		
14	A	Сферы		302		
14	A	Назад		1		
20	Q	[BLUE]Выберите класс предмета[]		40		
40	A	Длинные мечи		100		
40	A	Короткие мечи		101		
40	A	Двуручные мечи		102		
40	A	Назад		1		
21	Q	[BLUE]Выберите класс предмета[]		41		
41	A	Луки		110		
41	A	Арбалеты		111		
41	A	Назад		1		
22	Q	[BLUE]Выберите класс предмета[]		42		
42	A	Кинжалы		120		
42	A	Рапиры		121		
42	A	Назад		1		
23	Q	[BLUE]Выберите класс предмета[]		43		
43	A	Молотки		130		
43	A	Кувалды		131		
43	A	Назад		1		
24	Q	[BLUE]Выберите класс предмета[]		44		
44	A	Топоры		140		
44	A	Секиры		141		
44	A	Назад		1		
25	Q	[BLUE]Выберите класс предмета[]		45		
45	A	Булавы		150		
45	A	Моргенштерны		151		
45	A	Назад		1		
26	Q	[BLUE]Выберите класс предмета[]		46		
46	A	Палочки		160		
46	A	Посохи		161		
45	A	Назад		1		
50	Q	Выберите слиток. [RED] (Если в предложенных вариантах нету слитков, то возможно вам не хватает знаний или материалов для его получения)[].		51		
51	A	Железный слиток.		50	"PlayerHasItems#12007,2;PlayerHasItem#12016"	"LoseItems#12007,2;LoseItem#12016;GainItem#12008"
51	A	Стальной слиток.		50	"PlayerHasItems#12008,2;PlayerHasItems#12016,2"	"LoseItems#12008,2;LoseItems#12016,2;GainItem#12001"	
51	A	Слиток синей стали.		50	"PlayerHasItems#12002,2;PlayerHasItem#12016"	"LoseItems#12002,2;LoseItem#12016;GainItem#12003"	
51	A	Серебрянный слиток.		50	"PlayerHasItems#12009,2;PlayerHasItem#12016"	"LoseItems#12009,2;LoseItem#12016;GainItem#12010"	
51	A	Золотой слиток.		50	"PlayerHasItems#12011,10;PlayerHasItems#12016,5"	"LoseItems#12011,10;LoseItems#12016,5;GainItem#12012"	
51	A	Слитки готовы.		1		
100	Q	Улучшение длинных мечей требует 3 слитка и 2 дерева		500		
500	A	Стальной меч		0	"PlayerHasItems#12001,3;PlayerHasItems#12026,2;PlayerHasItem#523"	"LoseItems#12001,3;LoseItems#12026,2;LoseItem#523;GainItem#23000"
500	A	Меч из голубой стали		0	"PlayerHasItems#12003,3;PlayerHasItems#12026,2;PlayerHasItem#533"	"LoseItems#12001,3;LoseItems#12026,2;LoseItem#533;GainItem#23001"
500	A	Серебрянный меч		0	"PlayerHasItems#12010,3;PlayerHasItems#12026,2;PlayerHasItem#703"	"LoseItems#12001,3;LoseItems#12026,2;LoseItem#703;GainItem#23002"
500	A	Оркорез		0	"PlayerHasItems#12001,3;PlayerHasItems#12026,2;PlayerHasItem#589"	"LoseItems#12001,3;LoseItems#12026,2;LoseItem#589;GainItem#23003"
500	A	Меч молнии		0	"PlayerHasItems#12001,3;PlayerHasItems#12026,2;PlayerHasItem#580"	"LoseItems#12001,3;LoseItems#12026,2;LoseItem#580;GainItem#23004"
500	A	Меч пламени		0	"PlayerHasItems#12001,3;PlayerHasItems#12026,2;PlayerHasItem#583"	"LoseItems#12001,3;LoseItems#12026,2;LoseItem#583;GainItem#23005"
500	A	Правосудие		0	"PlayerHasItems#12001,3;PlayerHasItems#12026,2;PlayerHasItem#606"	"LoseItems#12001,3;LoseItems#12026,2;LoseItem#606;GainItem#23006"
500	A	Молниеносный		0	"PlayerHasItems#12001,3;PlayerHasItems#12026,2;PlayerHasItem#605"	"LoseItems#12001,3;LoseItems#12026,2;LoseItem#605;GainItem#23007"
500	A	Праведность		0	"PlayerHasItems#12001,3;PlayerHasItems#12026,2;PlayerHasItem#594"	"LoseItems#12001,3;LoseItems#12026,2;LoseItem#594;GainItem#23008"
500	A	Наноуглеродный меч		0	"PlayerHasItems#12020,3;PlayerHasItems#12026,2;PlayerHasItem#750"	"LoseItems#12020,3;LoseItems#12026,2;LoseItem#750;GainItem#23009"
500	A	Меч магмы		0	"PlayerHasItems#12001,3;PlayerHasItems#12026,2;PlayerHasItem#593"	"LoseItems#12001,3;LoseItems#12026,2;LoseItem#593;GainItem#23010"
500	A	Фантомный меч		0	"PlayerHasItems#12001,3;PlayerHasItems#12026,2;PlayerHasItem#756"	"LoseItems#12001,3;LoseItems#12026,2;LoseItem#756;GainItem#23011"
500	A	Меч Мельморта		0	"PlayerHasItems#12001,3;PlayerHasItems#12026,2;PlayerHasItem#764"	"LoseItems#12001,3;LoseItems#12026,2;LoseItem#764;GainItem#23012"
500	A	Меч паладина		0	"PlayerHasItems#12018,3;PlayerHasItems#12026,2;PlayerHasItem#734"	"LoseItems#12018,3;LoseItems#12026,2;LoseItem#734;GainItem#23013"
500	A	Меч Падающей Звезды		0	"PlayerHasItems#12006,3;PlayerHasItems#12026,2;PlayerHasItem#712"	"LoseItems#12006,3;LoseItems#12026,2;LoseItem#712;GainItem#23014"
500	A	Родовой клинок Оленя		0	"PlayerHasItems#12003,3;PlayerHasItems#12026,2;PlayerHasItem#624"	"LoseItems#12003,3;LoseItems#12026,2;LoseItem#624;GainItem#23015"
500	A	Адамантиевый Меч		0	"PlayerHasItems#12015,3;PlayerHasItems#12026,2;PlayerHasItem#553"	"LoseItems#12015,3;LoseItems#12026,2;LoseItem#553;GainItem#23016"
500	A	Назад		3		
101	Q	Улучшение коротких мечей требует 2 слитка и 1 дерево		501		
501	A	Стальной короткий меч		0	"PlayerHasItems#12001,2;PlayerHasItem#12026,1;PlayerHasItem#522"	"LoseItems#12001,2;LoseItems#12026,1;LoseItem#522;GainItem#27000"
501	A	Короткий серебрянный меч		0	"PlayerHasItems#12010,2;PlayerHasItem#12026,1;PlayerHasItem#702"	"LoseItems#12010,2;LoseItems#12026,1;LoseItem#702;GainItem#27001"
501	A	Короткий меч из голубой стали		0	"PlayerHasItems#12003,2;PlayerHasItem#12026,1;PlayerHasItem#532"	"LoseItems#12003,2;LoseItems#12026,1;LoseItem#532;GainItem#27002"
501	A	Сабля Корсара		0	"PlayerHasItems#12003,2;PlayerHasItems#12026,1;PlayerHasItem#598"	"LoseItems#12003,2;LoseItems#12026,1;LoseItem#598;GainItem#27003"
