index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](В доме вас встречает улыбчивый человек).[]Добро пожаловать в наш скромный магазин. Желаете купить зелий или ингридиентов?		2		
2	A	Покажи чем торгуешь.		3		
2	A	Уйти.		0		
2	A	Ходили слухи, о неком Мальне Нэльтоне, а так же в слухах упоминалась связь с призывателями. Можешь рассказать подробнее о них?		4		
3	Q	Выбирай.		0		OpenShop#
4	Q	[BLUE](Ещё миг назад мужчина улыбался вам, теперь же мужчина оценивает вас вглядом. Похоже он до сих пор помнит охоту на призывателей).[] Ты не похож на еретиков, называющих себя паладинами. Пройдём на второй этаж, там я расскажу тебе о нас.		5		
5	A	Лучше бы тебе рассказать всё здесь и сейчас.		6		
5	A	Но зачем нам идти наверх?		7		
5	A	Хорошо.		0		"SetVariable#maln_info,3;NPCDespawn#Maln;NPCSpawn#H11_maln2"
6	Q	И что же ты сделаешь если я не расскажу тебе всё тут? Убьёшь призывателя четвёртой ступени? [BLUE](Он снова улыбается в его глазах вы замечаете холодную ненависть. Похоже он стал считать вас одним из паладинов).[] Жаль, но похоже Архиепископ обратил свой взор на нас. Живым я отпустить тебя не могу, хоть ты и не похож на его приспешников.		0		"NPCSpawn#summon_spirit;NPCSpawn#summon_spirit2;NPCSpawn#summon_spirit3;NPCHostile#Maln"
7	Q	А если к нам кто-то зайдёт? Третья сторона мне здесь не нужна, да и раскрытие настоящей моей деятельности, подвергнет всю миссию угрозе и может навредить другим.		0		"SetVariable#maln_info,3;NPCDespawn#Maln;NPCSpawn#H11_maln2"
