index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE]Вы замечаете лестницу ведущую вниз.[]		2			
2	A	Пойти вниз по лестнице.		3			
2	A	Продолжить исследовать загадки ордена.		0			
3	Q	[BLUE]Вы достаточно долго спускаетесь вниз и останавливаетесь перед тяжёлой стальной дверью.[]		4			
4	A	Открыть дверь [RED]Внимание! При выборе этого ответа, вы попадёте в зону выхода с локации, вернутся назад вы не сможете. В эту локацию можно попасть так же, как и до этого.[]		0		Travel#D13_paladin,53	
4	A	Пойти по правой стороне от двери.		5			
5	Q	Вы вышли на развилку. Куда вы пойдёте дальше?		10			
6	Q	Вы вернулись к стальной двери. Что вы сделаете дальше?		7			
7	A	Открыть дверь [RED]Внимание! При выборе этого ответа, вы попадёте в зону выхода с локации, вернутся назад вы не сможете. В эту локацию можно попасть так же, как и до этого.[]		0		Travel#D13_paladin,53			0			
7	A	Вернуться к развилке.		5			
10	A	Налево (<)		11			
10	A	Прямо	(^)	12			
10	A	Направо (>)		13			
10	A	Назад (v)		6			
11	Q	Вы пошли на лево, и вышли к другой развилке		14			
12	Q	Вы пошли на прямо, и вышли к другой развилке		15			
13	Q	Вы пошли на направо, и вышли к комнате ведущей в катакомбы.		99	VariableEqual#pdooropen,5		
13	Q	Вы пошли на направо, и вышли к запертой комнате		99			
99	A	Сломать дверь силой.		100	VariableLower#pdooropen,4		STR#7
99	A	Взломать дверь отмычкой.		101	"PlayerHasItem#lockpick;VariableLower#pdooropen,4"		AGI#5
99	A	[BLUE]Наконец-то эта книга пригодилась.[]Использовать заклинание "Открытие "всех" дверей"		102	"PlayerHasItem#spellbooc_unl_d;VariableLower#pdooropen,4"		INT#5
99	A	Помолиться		103	VariableLower#pdooropen,4		PER#2
99	A	Войти в комнату		103	VariableEqual,pdooropen,5	Travel#	
100	Q	Под вашим напором дверь падает, на шум сбегаются обитатели этих лабиринтов.		200			
200	A	[BLUE]Далее.[]		0		"Travel#;NPCSpawn#alert_npc;SetVariable#pdooropen,5"	
101	Q	Вы как всегда прекрасно и ловко взламываете замок.		201			
201	A	[BLUE]Далее.[]		0		"Travel#;SetVariable#pdooropen,5"	
102	Q	Вы взмахиваете волшебной палочкой и дверь магическим образом начинает отворяться... ... ... Приоткрывшись совсем чуть-чуть дверь замирает. Похоже её заклинило.		202			
202	A	Вы можете ловко пролезть в пространство между дверью стеной		0		"Travel#;SetVariable#pdooropen,5"	AGI#5
202	A	Бесполезный талмуд написанный недоволшебником.		0	VariableLower#agr,4	SetVariable#agr,5	
202	A	Уйти к развилке.		5			
103	Q	Вы встаёте на колени, закрываете глаза и начинаете бормотать молитву. Вокруг вас концентрируется божественная энергия.		203			
203	A	Продолжить возздавать мольбы.		205			PER#4
203	A	Направить накопленную энергию.		204			
204	Q	Увы. Накопленной вами энергии хватает только на то, что бы очистить дверь от пыли. Вы возвращаетесь назад.		10		
205	Q	Вы продолжаете возздавать молбы вашему богу и для усиления связи с магией проводите лезвием кинжала себе по ладони. Магия вокруг вас усиливается и поднимает пыль с пола.		206			
206	A	Продолжить молитву		208		LoseHP#100	PER#7
206	A	Направить накопленную энергию.		207		LoseHP#100	
207	Q	Магическое пламя сжигает замок, вы беспрепядственно можете пройти дальше		252			
208	Q	Вы продолжаете взывать к вашему богу, магия начинает выжигать вас изнутри. Она начинает разрушать всё вокруг вас.		211			
211	A	Направить накопленную энергию.		250		LoseHPFire#300	
211	A	Продолжить молитву.		253			
250	Q	Вы выпустили концентрированное, всепоглащающее пламя. Оно в миг расплавило дверь и принялось за враждебно настроенных и безумных существ в комнате.		251			
251	A	[BLUE]Далее.[]		0		"Travel#;SetVariable#pdooropen,5;GainXP#30000"	
252	A	[BLUE]Далее.[]		0		"Travel#;SetVariable#pdooropen,5"	
253	Q	Безумие и чувство бесконечной силы охватывает вас всё сильнее. Огонь проникает в вас и выжигает вас изнутри... По всему подземелью пронесся зловещий смех умирающего истинного паладина веры... За смехом прошла волна плавящая всё: стены из камня, статуи, старые флаги и книги и даже воздух.... Вы осели горсткой пепла.		300			
300	A	[BLUE]Далее.[]		0		LoseHP#9999	
