index	type	text	text_ES	Go To	conditions	actions
1	Q	А вы везучий раз нашли залеж серебра! (стальная красная кирка)		4	PlayerHasItem#12025	
1	Q	А вы везучий раз нашли залеж серебра! (стальная фиол кирка)		5	PlayerHasItem#12024	
1	Q	А вы везучий раз нашли залеж серебра! (стальная синяя кирка)		6	PlayerHasItem#12023	
1	Q	А вы везучий раз нашли залеж серебра! (стальная кирка)		2	PlayerHasItem#12022	
1	Q	С одной стороны вам повезло - вы нашли залеж серебра, но увы, у вас нет подходящего для добычи инструмента.		3		
2	A	Добыть [RED]Обновляется раз в день[].		0	VariableLower#TMP_silver_ore3,1	"SetVariable#TMP_silver_ore3,1;GainItem#12009;GainXP#15"
3	A	Вернусь позже.		0		
4	A	Добыть [RED]Обновляется раз в день[].		0	VariableLower#TMP_silver_ore3,1	"SetVariable#TMP_silver_ore3,1;GainItems#12009,4;GainXP#60"
5	A	Добыть [RED]Обновляется раз в день[].		0	VariableLower#TMP_silver_ore3,1	"SetVariable#TMP_silver_ore3,1;GainItem#12009;GainXP#150"
6	A	Добыть [RED]Обновляется раз в день[].		0	VariableLower#TMP_silver_ore3,1	"SetVariable#TMP_silver_ore3,1;GainItems#12009,2;GainXP#30"
