index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Здравствуй и добро пожаловать, кудесник.		60	VariableEqual#guild_wizards,1		
1	Q	[BLUE](Что-то во взгляде этой прекрасной молодой женщины подсказывает тебе, что она сильно старше, чем выглядит.)[] Посетитель. Ты здесь, чтобы восхищаться чудесами нашего города? Или ты считаешь себя достойным Гильдии Магов? В этом случае знай, что ты говоришь с Верховным Магом Илеммой, вербовщиком Гильдии.		2			
2	A	Я думаю, что я буду хорошим дополнением к вашей Гильдии. Я хочу присоединиться.		3			
2	A	Я хочу обучиться магическим навыкам.		5			
2	A	Похоже, с одним из ваших заклинаний проблема. Кое-кто навсегда превратился в свинью.		70	VariableEqual#pig_wife,10		
2	A	Да я просто шёл мимо. До свидания.		0			
3	Q	Я отлично знаю, кто ты. Мы получили от тебя записи Тереззы о Вораторах, да и другие маги сообщали о твоих достижениях. Твои умения и верность неоспоримы.		50			
5	Q	Тебе лучше поговорить с Дорбусом; я обучаю только членов Гильдии.		0			
50	A	Могу я стать членом Гильдии Волшебников?		51			
51	Q	К сожалению, в тебе нет врождённой искры магии. Ты сможешь изучить пару трюков, но мы принимаем в свои ряды только имеющих дар к магии.		0	PlayerIsntClass#wizard		
51	Q	Боюсь, ты уже состоишь в другой гильдии. А Клятва Верности даётся лишь раз в жизни.		0	PlayerHasGuild#		
51	Q	Только если дашь магическую [BLUE]Клятву Верности[]. Будь осторожней, она даётся раз и навсегда. [RED]Нельзя будет вступить в другую гильдию[]. Если решишь быть просто нашим другом, ничего страшного. И без клятвы ты сможешь торговать и обучаться у нас. Возможно, я даже как-нибудь дам тебе работёнку.		52			
52	A	Что я получу, дав клятву и став членом гильдии? И каковы будут мои обязанности?		53			
53	Q	Став членом, необходимо признавать приоритет гильдии над всеми Королевствами, религиями и клятвами. Однако на деле каждый волшебник гильдии занимается своими делами. И можно годами не получать никаких заданий. Преимуществ полно - в обучении, торговле и скидках на телепортацию из наших башен.		54			
54	A	Хорошо. [BLUE](Дать клятву и стать членом Гильдии Волшебников)[] [RED](ПРИМЕЧАНИЕ: это решение необратимо!)[]		55		"SetVariable#guild_wizards,1;IncVariable#REP_wizardsguild,10;ItemHide#grate;ItemWalkable#grate"	
54	A	Мне надо подумать.		0			
55	Q	Чудесно. Будет любопытно посмотреть, чего может добиться кто-то вроде тебя, молодой и пришедший из "внешнего мира".		0			
60	A	Похоже, с одним из ваших заклинаний проблема. Кое-кто навсегда превратился в свинью.		70	VariableEqual#pig_wife,10		
60	A	Я хочу кое-чему научиться.		61			
60	A	Мне пора уходить, Верховная Чародейка.		0			
61	Q	Если ты умеешь копить большое количество маны, советую изучить [BLUE]Расщепление[] врагов. Если препочитаешь переложить работу на других существ, доверить её стоит сильнейшим, изучив [BLUE]Повелителя Земли[]. Наконец, если хочешь пользоваться мощнейшими из палочек и посохов, подумай об умениях [BLUE]Мага[].		62			
62	A	Расскажи подробней о Расщеплении.		0		TrainSkill#disintegrate	
62	A	Расскажи подробней о Повелителе Земли.		0		TrainSkill#earth_mastery	
62	A	Расскажи подробней о Маге.		0		TrainSkill#arcanist	
62	A	Может, в другой раз.		0			
70	Q	Невозможно. Публикуемые мной в "Еженедельных Свитках" заклинания имеют "защиту от дурака". Даже при самом убогом произношении их эффект не продлится дольше четырёх минут и шестнадцати секунд просто потому, что они недостаточно сильны для длительной трансформации. [BLUE](Она говорит без тени сомнения в голосе)[]		71		SetVariable#pig_wife,15	
71	A	Понятно. Простите, что отвлекаю, и спасибо.		0			
71	A	Но это случилось. Вам стоит что-нибудь проверить.		72			
72	Q	[BLUE](Она приподнимает бровь и скрещивает руки на груди. Её улыбка очаровательна, но в то же время угрожающа)[] О! Правда? Позволь, я угадаю. Ты не был свидетелем "происшествия", тебе просто кто-то рассказал, как всё случилось. Повторяю в последний раз: это невозможно. А теперь уходи, пока я не заткнула твою клевету о моих умениях.		73			
73	A	Хорошо. Всё ясно. Возможно, дело не в твоём заклинании. Прошу прощения.		0			
73	A	Думаю, ты просто пытаешься что-то скрыть! Наверняка всё дело в твоём заклинании.		74			
73	A	[TEAL](Маг)[] Очевидно, ваше заклинание не при чём, Леди Илемма. Прошу прощения.		0	PlayerIsClass#wizard		
74	Q	Прочь, надеюсь, небольшая прогулка научит тебя манерам. [BLUE](Она щёлкает пальцами, и окружающий мир начинает вращаться)[]		75		"DecVariable#REP_thuram,2;DecVariable#REP_wizardsguild,2"	
75	Q	Ты оказываешься в каком-то другом месте...		0		Travel#H6,999	
