index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE]Вы замечаете мужчину, который выступает перед паствой. Увы вы не можете разобрать его слова.[]		2			
2	A	Подойти ближе		3			
3	Q	[BLUE]Священник прерывает чтение молитв и обращает на вас своё внимание.[] Ты как раз вовремя заблудшая душа, мы собирались перейти к следующей молитве, ты можешь присесть и послушать её вместе с нами, послужить одному из богов старой веры и отдать ему таким образом почести, возможно он снизойдёт до тебя и дарует тебе частичку своей мудрости, а может наставит на путь истинный. Присаживайся, почти его своим присутствием.		4			
4	A	[BLUE]Вы чувствуете, что его слова сильно впиваются в ваш разум и вы не можете им сопротивляться[] Принять предложение и присесть на свободное место.		18			
4	A	Сопротивляться воздействию		5			PER#4
5	Q	У ставшего на путь убийцы и осквернителя ещё и сильная душа. Удивительное дитя было послано нам в дар, за проведённые в молитвах часы. Но даже искупавшему свои руки в крови найдётся искупление и я предлагаю его тебе. Садись, не противься воле его, и воздастся тебе многократно, присядь же и поучавствуй в нашей ежедневной молитве.		6			
6	A	[BLUE]Вашу голову пронизывают сотни иголок, вы не в силах противится его воле.[] Принять предложение и присесть на свободное место.		18			
6	A	Сопротивляться воздействию		7			PER#7
7	Q	[BLUE]В зале молитв уже звенит хор голосов и по мере богослужения, оратор не спускает с вас глаз и судя по его лицу, он очень удивлён.[] Признаюсь, но я первый раз за свою долгую жизнь вижу подобную силу воли. [BLUE]Он на некоторое время замолкает.[] Светлейший дал тебе последний шанс дитя. Одумайся! ты можешь стать лучше, избавится от крови на своих руках.		8			
8	A	Принять предложение и присесть на свободное место.		18			
8	A	Сопротивляться воздействию		9			PER#10
9	Q	К чему всё это?! Зачем противишься ты воле его?! Нам обоим будет плохо, если он обратит своё внимание на тебя.		10			
10	A	В этот момент по правое плечо епископа, в воздухе формируется тёмный силуэт.		11		NPCSpawn#arhibishop2	
11,arhibishop2	Q	Как же долго, Акарий, я просил тебя разобраться с этой проблемой быстро. У нас ещё множество дел, а ты возишься с этим... [BLUE]Он бросает в вас взгляд полный презрения.[] Ничтожеством.		12			
12	A	Далее.		13			
13	Q	Простите Светлейший, но я хотел показать ему путь истинный, как гласят наши книги и кодекс ордена. Даже такие преступники имеют шанс на искупление. И я хотел наставить...		14			
14	A	Далее.		15			
15,arhibishop2	Q	Довольно слов. У тебя есть задача, так будь добр выполни её. Но выполни её так, как прописано в кодексе. После же ступай за стены и проводи свои службы в церквях трёх, нам нужны новые служители веры.		16			
16	A	[BLUE]По глазам Акария заметно, что ему этот приказ не приносит удовольствия, и он рад бы не выполянть его, но кодекс и клятва паладинов не позволят нарушить приказ главного в ордене.[] Далее.		17			
17	Q	Как прикажете Светлейший.		19			
18	Q	[BLUE]В молитвах вы не заметили, как вашу душу терзают десятки теней. Не заметили вы и то, как вас окружили служители ордена с оружием в руках.[]		20			
19	A	Далее.		0		"NPCDespawn#arhibishop2;NPCHostile#bischop;NPCHostile#Paladin_Acolyte"	
19	A	Далее.		0		"LoseHPDeath#400;NPCHostile#bischop;NPCHostile#Paladin_Acolyte;NPCSpawn#ambush"	
