index	type	text	text_ES	Go To	conditions	actions
1	Q	Что случилось?		4	NPCisFollower#	
1	Q	Спасибо за помощь, я до сих пор перед тобой в долгу. Чем могу быть полезен?		2		
2	A	Мне нужна твоя помощь и твои знания, в моём путешествии.		8		
4	A	Ничего, давайте двигаться дальше.		0		
4	A	Я хочу, распределить твои статы по другому.		0	VariableLower#3amari,1	"SetVariable#3amari,1;ResetCompanion#"
4	A	Я хочу, что бы ты смогла изучить продвинутые навыки.		7	VariableLower#amari,1	
4	A	Мне больше не нужны твои услуги. Спасибо за помощь и до свидания.		5		
4	A	Давай обсудим нашу тактику.		10		
5	Q	Как хочешь, босс. Надеюсь, мы снова будем работать вместе.		0		NPCStopFollowing#
6	Q	Конечно.		0		NPCMoveRandom#
7	Q	Сделано. Теперь я могу учить продвинутые навыки.		0		"UpgradeCompanion#amarisa;SetVariable#amari,1"
8	Q	У тебя уже есть спутник, я не могу идти с тобой.		0	HasCompanion#	
8	Q	Замечательная новость. Тогда не будем медлить. В путь!		9		NPCFollow#
9	A	В путь!		0		
10	Q	Конечно, что ты хочешь, чтоб я сделал?		11		
11	A	Я хочу, чтобы ты подождал меня здесь.		16	NPCIsntWaiting#	NPCWait#
11	A	Я хочу, чтобы ты снова следовал за мной.		15	NPCIsWaiting#	NPCDontWait#
11	A	Я хочу объяснить тебе, когда атаковать врага.		13		
11	A	Неважно.		0		
13	Q	Хорошо, как на счёт этого?		14		
14	A	Никогда никого не атакуй. Даже для самозащиты. Все бои я проведу самолично.		15		NPCAttack#never
14	A	Атакуй только врагов, что атаковали тебя первыми.		15		NPCAttack#defend
14	A	Атакуй только врагов, которые находятся близко к тебе.		15		NPCAttack#close
14	A	Атакуй всех врагов в зоне видимости.		15		NPCAttack#all
15	Q	Понятно.		0		
16	Q	Понятно, но я не смогу стоять тут вечно. Если пропадёшь надолго, то я пойду на твои поиски.		0		
