index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Вы почти убили колдунью, но в последний момент её окутывает густая пелена зеленого цвета. С разных сторон в вас на очень большой скорости полетели три ядовитых кинжала.		3			AGI#1
1	Q	Вы почти убили колдунью, но в последний момент её окутывает густая пелена зеленого цвета. С разных сторон в вас на очень большой скорости полетели три ядовитых кинжала.		2			
2	A	Использовать всю свою грацию уличного камня.		10		"LoseHPPoison#20;GainMana#-15;LoseHPPoison#20;GainMana#-15;LoseHPPoison#20;GainMana#-15"	
3	A	Использовать всю свою грацию медведя.		4			AGI#1
4	Q	Вам удаётся увернутся от первого кинжала. Но остальные исчезают из вашего поля зрения.		5			
5	A	Бросится на Ксидар.		11			
5	A	Приглядется к ряби в зелёной дымке.		12			AWA#2
10	Q	Вам удаётся поймать собой все три кинжала.		20			
11	Q	Вы бросаетесь на Ксидар не замечая два кинжала летящих на вас с двух сторон.		21			
12	Q	Вам удалось заметить оставшиеся два ножа и парировать их. В следующий миг вас окутывает дымка и вас переносят в другое место.		22			
20	A	[BLUE]Далее[].		0		Travel#E9_Xidar_second_fight,10,0	
21	A	[BLUE]Далее[].		0		"LoseHPPoison#20;GainMana#-15;LoseHPPoison#20;GainMana#-15;Travel#E9_Xidar_second_fight,10,0"	
22	A	[BLUE]Далее[].		0		"Travel#E9_Xidar_second_fight,10,0"	
