index	type	text_english	text_ES	Go To	conditions	actions	
1	Q	В ледяной пустоши возвышается необычная башня мага, её дверь обрамляют рунные вязи уходящие словно лианы ввысь к вершине башни.		2			
2	A	Постучать в дверь.		50			
2	A	Подождать		5			
2	A	[RED]Попробовать выломать дверь[]		3			
3	Q	Вы со всей силы ударяете по двери. Происходит вспышка, вы уже думаете, что смогли сломать дверь, как вдруг в вас ударяет луч огненной энергии. А дверь так и продолжает стоять.		4			
4	A	[BLUE]Далее.[]		0		LoseHPFire#500	
5	Q	Вы принимаете решение подождать.		6			
6	A	Постучать в дверь.		50			
6	A	Подождать		9			
6	A	[RED]Попробовать выломать дверь[]		8			
8	Q	Вы со всей силы ударяете по двери. Происходит вспышка, вы уже думаете, что смогли сломать дверь, как вдруг в вас ударяет луч огненной энергии. А дверь так и продолжает стоять.		4			
9	Q	Вы снова принимаете решение подождать, можно было бы попробовать постучать в дверь, хоть как-то оповестить мага живущего в башне о вас, но видимо у вас другой путь.		10			
10	A	Постучать в дверь.		50			
10	A	Подождать		11			
10	A	[RED]Попробовать выломать дверь[]		8			
11	Q	Вы продолжаете ждать. Внезапно позади вас раздается голос: И долго ты собираешься здесь стоять?		12			
12	A	Я искал встречи с вами, великий маг.		13			
12	A	Простите за беспокойство, я уже ухожу.		14			
13	Q	Хм... Что ж, раз ты проявил такое терпение, думаю, мы можем побеседовать. Следуй за мной.		15			
14	Q	Постой. Твое терпение впечатляет. Пожалуй, я хочу услышать, зачем ты пришел. Входи.		15			
15	A	[BLUE]Войти в башню[]		16		OpenLocation#mage_tower	
16	Q	Маг открывает дверь замысловатым жестом, и вы входите внутрь башни.		0			
50	Q	Вы стучите в дверь башни. Проходит некоторое время, но ответа нет.		51			
51	A	Постучать ещё раз		52			
51	A	Подождать		5			
51	A	[RED]Попробовать выломать дверь[]		3			
52	Q	Вы снова стучите в дверь, на этот раз сильнее. Внезапно руны на двери начинают светиться синим светом.		53			
53	A	Отойти от двери		54			
53	A	Остаться у двери		55			
54	Q	Вы отходите от двери. Свечение рун постепенно угасает. Что будете делать дальше?		51			
55	Q	Голос, кажется исходящий прямо из рун, произносит: Уходи. Мастер не принимает посетителей.		56			
56	A	Мне нужна помощь мага. Это очень важно.		57			
56	A	Передайте мастеру, что у меня есть для него ценная информация.		58			
56	A	Уйти		0			
57	Q	Помощь всегда имеет цену. Возвращайся, когда будешь готов заплатить.		51			
58	Q	Многие так говорят. Докажи свою ценность терпением.		51			
