index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE]Алхимия.[] Продолжить комбинирование?		2	VariableEqual		
1	Q	[BLUE]Алхимия.[] Вы можете создавать зелья по найденным рецептам или смешать ингридиенты надеясь на удачу.		2			
2	A	Открыть хранилище		0		OpenWorldContainer#alchemy_chest	
2	A	Создать по рецепту		100			
2	A	Смешивать самостоятельно		1000			
100	Q	Выберите рецепт		140			
1000	Q	Выберите действие		1001			
1001	A	Начать комбинирование.		1002		SetVariable#start_alchemy,1	
1001	A	Перейти к следующему этапу		2500			
1001	A	Вылить образец.		4000			
1002	Q	Вы осматриваете свои ингридиенты и трофеи добытые во время странствий по миру. [BLUE]Страница 1/***[].		1003			
1003	A	Синяя орхидея		1002			
1003	A	Красная орхидея		1002			
1003	A	Красная орхидея		1002			
1003	A	Завершить комбинирование ингредиентов		1000			
