index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Слава Трём, ты вернулся.. Я уж думал посылать стражу на поиски краденного. Ты готов?		5	"VariableEqual#smith_know,1;VariableLower#steel_and_fire,11"		
1	Q	Ну что? Есть новости?		10	"VariableGreater#steel_and_fire,11;VariableLower#steel_and_fire,20"		
1	Q	[BLUE](Вы подходите к торговцу, он выглядит озадаченно).[] Красивый город не правда ли? Только карманники и воры по вечерам лютуют в последнее время, да и налоги на торговцах не мелкие, но за жизнью граждан тут следят строго.		2			
2	A	Вам нужна помощь?		3			
2	A	Город то прекрасный, но вас нету оружия или брони получше тех, что продают торговцы на площади?		7	VariableLower#smith_tr,1	SetVariable#smith_tr,1	
2	A	У меня нет времени на пустые рассуждения		0			
3	Q	Это задание может быть довольно сложным... Ты уверен, что справишься с этим?		5			
5	A	Я принимаюсь за это дело.		0		SetVariable#steel_and_fire,11	
5	A	Мне нужно подготовиться.		0		SetVariable#smith_know,1	
5	A	Вы можете рассказать, что у вас украли, и есть ли предположения с чего начать поиски?		6			INT#2
6	Q	Несколько слитков и пару арбалетов. Кражи происходят подозрительно часто, я не думаю, что логово воров может быть далеко от города. Может оно где-то в пустыне или в самом городе. Если ты найдёшь мои вещи, я щедро отблагодарю тебя.		9		
7	Q	Была. Пока у меня не украли огромную часть моих ресурсов. Стража всё пыталась найти убежище воров, но они хитрее и проворнее. Я заплачу 750 монет, и дам на выбор одно оружие, будь уверен ты не пожалеешь.		8			
8	A	Я постараюсь найти украденное.		0		SetVariable#steel_and_fire,11	
9	A	Я постараюсь найти украденное.		0		SetVariable#steel_and_fire,12	
10	A	Пока не удаётся найти убежище преступников.		0	VariableLower#steel_and_fire,20		
10	A	Я нашёл, где укрывались эти ночные крысы. В их убежище были не только ваши вещи, но и других граждан Варсилии.		0	VariableEqual#steel_and_fire,20	SetVariable#steel_and_fire,35	
10	A	[BLUE]Ложь.[] Я нашёл, где укрывались эти ночные крысы. В их убежище и были ваши ресурсы. Других вещей там не было, возможно это не единственное их убежище.		0	VariableEqual#steel_and_fire,20	SetVariable#steel_and_fire,30	
