index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE]В находите незнакомца в замке[]. Попасть сюда ты смог, но ты пришёл без карты. Возвращайся вместе с ней и поторипись, грядут изменения.		0			
1	Q	[BLUE]В находите незнакомца в замке, его глаза с прошлой вашей встречи ещё больше остекленели[]. Долго же ты возился с этой бумажкой, дабы попасть сюда. Мог бы сказать, что ты по поручению придворного мага. А теперь отдавай карту, нас ждёт более интересное место.[BLUE] Его голос звучит совершенно пусто и безэмоционально[].		2	PlayerHasItem#12029		
2	A	Передать ему карту.		20	PlayerHasItem#12029	LoseItem#12029	
2	A	[RED]Ложь[]. У меня нет с собой карты.		10	PlayerHasItem#12029		
2	A	Кто ты и зачем тебе нужна эта карта?		3			
2	A	
3	Q	[BLUE]На миг маг оторопел от вашего вопроса[]. Кто я? Я придворный маг его величества, короля Варсилии, глаза и уши в его королевстве. Моё имя тебе знать не обязательно, всему своё время. А карта... Она указывает на место нашей следующей встречи. Довольно слов, ты и так слишком много узнал. Или ты отдаёшь карту, или живым тебе отсюда не уйти, это я тебе обещаю.		4			
4	A	Передать карту.		20		LoseItems#12029	
4	A	Достаточно мало информации за помощь. Мне проще передать эту карту королю, не думаю, что он будет рад узнать о том, что его придворный маг,глаза и уши, шастает по ночам за чертой города, в поисках каких-то карт.		5			
5	Q	[BLUE]Его голос оставался таким же пустым и безэмоциональным[]. Зачем мне стража? Для твоей жизни достаточно лишь выпустить часть моей силы на волю. [BLUE]После его слов вас окутала тьма, вы не в силах сопротивляться его замыслам и отключаетесь. Очнувшись вы обнаруживаете себя уже около шахт Ланнегара. Человек напротив скалясь приказывает вам убить всех шахтёров, вы безропотно выполняете его приказ, далее спускаетесь всё ниже и ниже, пока не попадаете в библиотеку, где находите медальон. Маг разрушает его, вы чувствуете, как ваша личность полностью замещается чужой силой. Вы стали невольным наблюдателем чужой игры до конца жизни.[]		0		LoseHP#9999	
10	Q	Вдумайся в то, что ты сейчас сказал? Я же изначально дал понять о местанахождении карты и даже не пытаюсь забрать её силой. Даю последний шанс отдать мне её.		11			
11	A	Отдать карту придворному магу.		20			
11	A	Развернутся и уйти		12			
12	Q	[BLUE]Как только вы разворачиваетесь спиной к самонадеянному дворянину, вас окутывает тьма. В себя вы пришли уже рядом с шахтами Ланнегара, Кассиан приказывает вам убить всех шахтёров. Вы не можете контролировать своё тело и являетесь невольным зрителем, а после содеянного, он ведёт вас в древнюю библиотеку. В ней он нашёл амулет и не прикосаясь к нему уничтожил его. После этого вы осознали суть его замыслов, но было уже поздно. Ваше сознание уступило тьме, а ваше тело стало марионеткой в интригах Кассиана Регордиона, нового Короля Варсилии и будущего императора. Императора новой Империи.[]		0		LoseHP#9999	
20	Q	[BLUE]В его глазах почти не осталось человеческих эмоций[]. Прекрасно, так бы сразу и без всяких лишних вопросов. Однако я прощаю тебе эту вольность. Приходи к шахтам Ланнегара, когда будешь готов. И вот твоя награда за помощь в нахождении карты.		21			
21	A	Забрать награду.		0		"LoseItem#12029;GainGold#1500;GainXP#400;SetVariable#kassian_map,50"	
